"", "Mobile line" , "Bahamas" ,  1242454 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242455 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242456 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242457 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242464 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242465 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242466 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242467 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242468 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242471 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242472 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242475 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242477 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242524 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242525 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242533 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242535 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242544 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242551 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242552 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242553 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242554 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242556 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242557 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242558 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242559 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242565 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242577 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242636 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242646 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242727 , "0.1"
"", "Fixed line" , "Bahrain" ,  973 , "0.1"
"", "Mobile line" , "Bahrain" ,  9733 , "0.1"
"", "Fixed line" , "Bangladesh" ,  880 , "0.1"
"", "Mobile line" , "Bangladesh" ,  8801 , "0.1"
"", "Fixed line" , "Barbados" ,  1246 , "0.1"
"", "Mobile line" , "Barbados" ,  124623 , "0.1"
"", "Mobile line" , "Barbados" ,  124624 , "0.1"
"", "Mobile line" , "Barbados" ,  124625 , "0.1"
"", "Mobile line" , "Barbados" ,  124626 , "0.1"
"", "Mobile line" , "Barbados" ,  1246446 , "0.1"
"", "Mobile line" , "Barbados" ,  1246447 , "0.1"
"", "Mobile line" , "Barbados" ,  1246448 , "0.1"
"", "Mobile line" , "Barbados" ,  1246449 , "0.1"
"", "Mobile line" , "Barbados" ,  124645 , "0.1"
"", "Mobile line" , "Barbados" ,  124652 , "0.1"
"", "Mobile line" , "Barbados" ,  1246820 , "0.1"
"", "Mobile line" , "Barbados" ,  1246821 , "0.1"
"", "Mobile line" , "Barbados" ,  1246822 , "0.1"
"", "Mobile line" , "Barbados" ,  1246823 , "0.1"
"", "Mobile line" , "Barbados" ,  1246824 , "0.1"
"", "Mobile line" , "Barbados" ,  1246825 , "0.1"
"", "Mobile line" , "Barbados" ,  1246826 , "0.1"
"", "Mobile line" , "Barbados" ,  1246827 , "0.1"
"", "Mobile line" , "Barbados" ,  1246828 , "0.1"
"", "Mobile line" , "Barbados" ,  1246829 , "0.1"
"", "Fixed line" , "Belarus" ,  375 , "0.1"
"", "Mobile line" , "Belarus" ,  375256 , "0.1"
"", "Mobile line" , "Belarus" ,  375259 , "0.1"
"", "Mobile line" , "Belarus" ,  37529 , "0.1"
"", "Mobile line" , "Belarus" ,  37533 , "0.1"
"", "Mobile line" , "Belarus" ,  37544 , "0.1"
"", "Fixed line" , "Belgium [Base]" ,  32484 , "0.1"
"", "Fixed line" , "Belgium [Base]" ,  32485 , "0.1"
