"213795", "Algeria", "Mobile Line", "Orascom"
"213796", "Algeria", "Mobile Line", "Orascom"
"213797", "Algeria", "Mobile Line", "Orascom"
"2135", "Algeria", "Mobile Line", "Wataniya"
"21355", "Algeria", "Mobile Line", "Wataniya"
"21356152", "Algeria", "Mobile Line", "Wataniya"
"1684", "American Samoa", "Fixed Line", ""
"16842", "American Samoa", "Mobile Line", ""
"376", "Andorra", "Fixed Line", ""
"3763", "Andorra", "Mobile Line", ""
"3764", "Andorra", "Mobile Line", ""
"3765", "Andorra", "Mobile Line", ""
"3766", "Andorra", "Mobile Line", ""
"244", "Angola", "Fixed Line", ""
"2449", "Angola", "Mobile Line", ""
"24491", "Angola", "Mobile Line", ""
"244950", "Angola", "Mobile Line", ""
"24492", "Angola", "Mobile Line", "Unitel"
"1264", "Anguilla", "Fixed Line", ""
"1264235", "Anguilla", "Mobile Line", ""
"1264469", "Anguilla", "Mobile Line", ""
"1264476", "Anguilla", "Mobile Line", ""
"1264536", "Anguilla", "Mobile Line", ""
"1264537", "Anguilla", "Mobile Line", ""
"1264538", "Anguilla", "Mobile Line", ""
"1264539", "Anguilla", "Mobile Line", ""
"1264543", "Anguilla", "Mobile Line", ""
"1264581", "Anguilla", "Mobile Line", ""
"1264582", "Anguilla", "Mobile Line", ""
"1264583", "Anguilla", "Mobile Line", ""
"1264584", "Anguilla", "Mobile Line", ""
"1264729", "Anguilla", "Mobile Line", ""
"1264772", "Anguilla", "Mobile Line", ""
"672", "Antarctica", "Fixed Line", ""
"672178", "Antarctica", "Fixed Line", ""
"1268", "Antigua", "Fixed Line", ""
"126872", "Antigua", "Mobile Line", ""
"126877", "Antigua", "Mobile Line", ""
"1268464", "Antigua", "Mobile Line", ""
"1268723", "Antigua", "Mobile Line", ""
"1268724", "Antigua", "Mobile Line", ""
"1268725", "Antigua", "Mobile Line", ""
"1268727", "Antigua", "Mobile Line", ""
"1268728", "Antigua", "Mobile Line", ""
"1268729", "Antigua", "Mobile Line", ""
"1268764", "Antigua", "Mobile Line", ""
"1268773", "Antigua", "Mobile Line", ""
"1268774", "Antigua", "Mobile Line", ""
"1268780", "Antigua", "Mobile Line", ""
"1268781", "Antigua", "Mobile Line", ""
"1268782", "Antigua", "Mobile Line", ""
"1268783", "Antigua", "Mobile Line", ""
"1268784", "Antigua", "Mobile Line", ""
"1268785", "Antigua", "Mobile Line", ""
"1268786", "Antigua", "Mobile Line", ""
"1268788", "Antigua", "Mobile Line", ""
"1268789", "Antigua", "Mobile Line", ""
"54", "Argentina", "Fixed Line", ""
"5411", "Argentina", "Fixed Line", "Buenos Aires"
"54114", "Argentina", "Fixed Line", "Buenos Aires"
"54351", "Argentina", "Fixed Line", "Cordoba"
"54221", "Argentina", "Fixed Line", "La Plata"
"54223", "Argentina", "Fixed Line", "Mar Del Plata"
"54261", "Argentina", "Fixed Line", "Mendoza"
"549", "Argentina", "Mobile Line", ""
"5414", "Argentina", "Mobile Line", ""
"54153", "Argentina", "Mobile Line", ""
"54167", "Argentina", "Mobile Line", ""
"54193", "Argentina", "Mobile Line", ""
"54197", "Argentina", "Mobile Line", ""
"54991", "Argentina", "Mobile Line", ""
"54992", "Argentina", "Mobile Line", ""
"54341", "Argentina", "Fixed Line", "Rosario"
"374", "Armenia", "Fixed Line", ""
"3741", "Armenia", "Fixed Line", ""
"3744", "Armenia", "Fixed Line", "Karabakh"
"37447", "Armenia", "Fixed Line", "Karabakh"
"3747", "Armenia", "Mobile Line", ""
"3749", "Armenia", "Mobile Line", ""
"37455", "Armenia", "Mobile Line", ""
"37477", "Armenia", "Mobile Line", "Vivacell"
"37493", "Armenia", "Mobile Line", "Vivacell"
"37494", "Armenia", "Mobile Line", "Vivacell"
"37498", "Armenia", "Mobile Line", "Vivacell"
"37410", "Armenia", "Fixed Line", "Yerevan"
"297", "Aruba", "Fixed Line", ""
"2977", "Aruba", "Mobile Line", ""
"2979", "Aruba", "Mobile Line", ""
"29756", "Aruba", "Mobile Line", ""
"29759", "Aruba", "Mobile Line", ""
"247", "Ascension Island", "Fixed Line", ""
"2477", "Ascension Island", "Fixed Line", ""
"61", "Australia", "Fixed Line", ""
"612", "Australia", "Fixed Line", ""
"6171", "Australia", "Fixed Line", ""
"61881", "Australia", "Fixed Line", "Adelaide"
"61882", "Australia", "Fixed Line", "Adelaide"
"61883", "Australia", "Fixed Line", "Adelaide"
"61884", "Australia", "Fixed Line", "Adelaide"
"61261", "Australia", "Fixed Line", "Canberra"
"61262", "Australia", "Fixed Line", "Canberra"
"6189164", "Australia", "Fixed Line", "Christmas island"
"61891006", "Australia", "Fixed Line", "Christmas island"
"61891007", "Australia", "Fixed Line", "Christmas island"
"61891008", "Australia", "Fixed Line", "Christmas island"
"6189162", "Australia", "Fixed Line", "Cocos Island"
"61891010", "Australia", "Fixed Line", "Cocos Island"
"61891011", "Australia", "Fixed Line", "Cocos Island"
"61891012", "Australia", "Fixed Line", "Cocos Island"
"6138", "Australia", "Fixed Line", "Melbourne"
"6139", "Australia", "Fixed Line", "Melbourne"
"614", "Australia", "Mobile Line", ""
"615", "Australia", "Mobile Line", ""
"6114", "Australia", "Mobile Line", ""
"6115", "Australia", "Mobile Line", ""
"6116", "Australia", "Mobile Line", ""
"6117", "Australia", "Mobile Line", ""
"6118", "Australia", "Mobile Line", ""
"6119", "Australia", "Mobile Line", ""
"6140", "Australia", "Mobile Line", ""
"6141", "Australia", "Mobile Line", ""
"6142", "Australia", "Mobile Line", ""
"61433", "Australia", "Mobile Line", "Hutchinson"
"614251", "Australia", "Mobile Line", "Hutchinson"
"614252", "Australia", "Mobile Line", "Hutchinson"
"614253", "Australia", "Mobile Line", "Hutchinson"
"614256", "Australia", "Mobile Line", "Hutchinson"
"614257", "Australia", "Mobile Line", "Hutchinson"
"614258", "Australia", "Mobile Line", "Hutchinson"
"614300", "Australia", "Mobile Line", "Hutchinson"
"614301", "Australia", "Mobile Line", "Hutchinson"
"614302", "Australia", "Mobile Line", "Hutchinson"
"614303", "Australia", "Mobile Line", "Hutchinson"
"614304", "Australia", "Mobile Line", "Hutchinson"
"614305", "Australia", "Mobile Line", "Hutchinson"
"61401", "Australia", "Mobile Line", "Optus"
"61402", "Australia", "Mobile Line", "Optus"
"61403", "Australia", "Mobile Line", "Optus"
"61411", "Australia", "Mobile Line", "Optus"
"61412", "Australia", "Mobile Line", "Optus"
"61413", "Australia", "Mobile Line", "Optus"
"61421", "Australia", "Mobile Line", "Optus"
